start_zone_id,start_zone_name,end_zone_id,end_zone_name,time_bucket,bike_travel_time,taxi_travel_time,base_charge,surcharge
4,Alphabet City,4,Alphabet City,4:00 PM–7:00 PM,12,6,11.129276062,0.76969112
4,Alphabet City,4,Alphabet City,11:00 AM–4:00 PM,11,11,9.850440024,0.781675708
4,Alphabet City,4,Alphabet City,8:00 AM–11:00 AM,8,9,12.931924157,0.769662921
4,Alphabet City,4,Alphabet City,7:00 PM–10:00 PM,12,6,9.616746843,0.757666867
4,Alphabet City,4,Alphabet City,10:00 PM–8:00 AM,11,6,9.066574173,0.761205977
7,Astoria,4,Alphabet City,11:00 AM–4:00 PM,37,24,24.8075,0.8
7,Astoria,4,Alphabet City,4:00 PM–7:00 PM,53,28,26.101428571,0.8
12,Battery Park,4,Alphabet City,10:00 PM–8:00 AM,27,11,15.5746,0.8
12,Battery Park,4,Alphabet City,11:00 AM–4:00 PM,27,14,15.520813008,0.8
12,Battery Park,4,Alphabet City,8:00 AM–11:00 AM,19,16,15.489393939,0.8
12,Battery Park,4,Alphabet City,7:00 PM–10:00 PM,23,12,15.762,0.8
12,Battery Park,4,Alphabet City,4:00 PM–7:00 PM,25,13,15.676621622,0.8
13,Battery Park City,4,Alphabet City,4:00 PM–7:00 PM,28,13,16.916360573,0.799747262
13,Battery Park City,4,Alphabet City,11:00 AM–4:00 PM,32,14,16.653090909,0.8
13,Battery Park City,4,Alphabet City,8:00 AM–11:00 AM,27,21,16.696988764,0.8
13,Battery Park City,4,Alphabet City,7:00 PM–10:00 PM,30,14,17.058821752,0.8
13,Battery Park City,4,Alphabet City,10:00 PM–8:00 AM,28,13,16.949792453,0.8
17,Bedford,4,Alphabet City,4:00 PM–7:00 PM,44,24,24,0.8
17,Bedford,4,Alphabet City,11:00 AM–4:00 PM,37,23,19.111666667,0.8
17,Bedford,4,Alphabet City,7:00 PM–10:00 PM,27,24,20.083333333,0.8
17,Bedford,4,Alphabet City,8:00 AM–11:00 AM,26,16,15.2,0.8
17,Bedford,4,Alphabet City,10:00 PM–8:00 AM,27,17,18.423846154,0.8
24,Bloomingdale,4,Alphabet City,7:00 PM–10:00 PM,50,27,28.940833333,0.8
24,Bloomingdale,4,Alphabet City,11:00 AM–4:00 PM,41,30,29.398253968,0.8
24,Bloomingdale,4,Alphabet City,4:00 PM–7:00 PM,62,31,29.8935,0.8
25,Boerum Hill,4,Alphabet City,10:00 PM–8:00 AM,36,15,18.58402439,0.8
25,Boerum Hill,4,Alphabet City,11:00 AM–4:00 PM,27,17,18.47530303,0.8
25,Boerum Hill,4,Alphabet City,4:00 PM–7:00 PM,29,25,18.711807229,0.8
25,Boerum Hill,4,Alphabet City,8:00 AM–11:00 AM,43,16,17.30826087,0.8
33,Brooklyn Heights,4,Alphabet City,10:00 PM–8:00 AM,21,25,18.03942446,0.8
33,Brooklyn Heights,4,Alphabet City,8:00 AM–11:00 AM,27,15,19.220833333,0.8
33,Brooklyn Heights,4,Alphabet City,4:00 PM–7:00 PM,24,17,19.567169811,0.8
33,Brooklyn Heights,4,Alphabet City,7:00 PM–10:00 PM,25,34,18.632692308,0.8
34,Brooklyn Navy Yard,4,Alphabet City,11:00 AM–4:00 PM,30,37,30.65,0.8
34,Brooklyn Navy Yard,4,Alphabet City,7:00 PM–10:00 PM,21,16,16.976666667,0.8
34,Brooklyn Navy Yard,4,Alphabet City,4:00 PM–7:00 PM,32,18,19.26,0.8
37,Bushwick South,4,Alphabet City,4:00 PM–7:00 PM,29,31,24.283333333,0.8
37,Bushwick South,4,Alphabet City,7:00 PM–10:00 PM,53,19,18.25,0.8
37,Bushwick South,4,Alphabet City,11:00 AM–4:00 PM,32,41,29.75,0.8
37,Bushwick South,4,Alphabet City,8:00 AM–11:00 AM,40,48,35.34,0.8
37,Bushwick South,4,Alphabet City,10:00 PM–8:00 AM,30,19,18.374578313,0.793975904
40,Carroll Gardens,4,Alphabet City,4:00 PM–7:00 PM,36,22,22.894210526,0.8
41,Central Harlem,4,Alphabet City,10:00 PM–8:00 AM,45,22,26.553186813,0.8
43,Central Park,4,Alphabet City,4:00 PM–7:00 PM,38,35,23.922206897,0.8
43,Central Park,4,Alphabet City,11:00 AM–4:00 PM,44,39,22.971541219,0.8
43,Central Park,4,Alphabet City,10:00 PM–8:00 AM,28,25,20.970509804,0.8
43,Central Park,4,Alphabet City,7:00 PM–10:00 PM,33,27,22.155779221,0.8
