start_zone_id,start_zone_name,end_zone_id,end_zone_name,time_bucket,duration
45,Chinatown,4,Alphabet City,7:00 PM–10:00 PM,12
45,Chinatown,4,Alphabet City,4:00 PM–7:00 PM,14
45,Chinatown,4,Alphabet City,11:00 AM–4:00 PM,15
45,Chinatown,4,Alphabet City,8:00 AM–11:00 AM,18
48,Clinton East,4,Alphabet City,10:00 PM–8:00 AM,28
48,Clinton East,4,Alphabet City,4:00 PM–7:00 PM,28
48,Clinton East,4,Alphabet City,8:00 AM–11:00 AM,34
48,Clinton East,4,Alphabet City,7:00 PM–10:00 PM,31
48,Clinton East,4,Alphabet City,11:00 AM–4:00 PM,31
49,Clinton Hill,4,Alphabet City,11:00 AM–4:00 PM,30
49,Clinton Hill,4,Alphabet City,4:00 PM–7:00 PM,30
49,Clinton Hill,4,Alphabet City,10:00 PM–8:00 AM,36
49,Clinton Hill,4,Alphabet City,7:00 PM–10:00 PM,28
49,Clinton Hill,4,Alphabet City,8:00 AM–11:00 AM,26
50,Clinton West,4,Alphabet City,10:00 PM–8:00 AM,33
50,Clinton West,4,Alphabet City,7:00 PM–10:00 PM,28
50,Clinton West,4,Alphabet City,11:00 AM–4:00 PM,33
50,Clinton West,4,Alphabet City,4:00 PM–7:00 PM,32
50,Clinton West,4,Alphabet City,8:00 AM–11:00 AM,38
52,Cobble Hill,4,Alphabet City,11:00 AM–4:00 PM,28
52,Cobble Hill,4,Alphabet City,8:00 AM–11:00 AM,26
54,Columbia Street,4,Alphabet City,11:00 AM–4:00 PM,152
54,Columbia Street,4,Alphabet City,10:00 PM–8:00 AM,23
54,Columbia Street,4,Alphabet City,7:00 PM–10:00 PM,23
54,Columbia Street,4,Alphabet City,4:00 PM–7:00 PM,35
61,Crown Heights North,4,Alphabet City,7:00 PM–10:00 PM,36
61,Crown Heights North,4,Alphabet City,4:00 PM–7:00 PM,40
61,Crown Heights North,4,Alphabet City,8:00 AM–11:00 AM,29
61,Crown Heights North,4,Alphabet City,11:00 AM–4:00 PM,73
61,Crown Heights North,4,Alphabet City,10:00 PM–8:00 AM,39
62,Crown Heights South,4,Alphabet City,4:00 PM–7:00 PM,30
62,Crown Heights South,4,Alphabet City,11:00 AM–4:00 PM,26
65,Downtown Brooklyn/MetroTech,4,Alphabet City,10:00 PM–8:00 AM,26
65,Downtown Brooklyn/MetroTech,4,Alphabet City,11:00 AM–4:00 PM,53
65,Downtown Brooklyn/MetroTech,4,Alphabet City,8:00 AM–11:00 AM,26
65,Downtown Brooklyn/MetroTech,4,Alphabet City,7:00 PM–10:00 PM,24
