start_zone,end_zone,time_bucket,taxi_win_rate,taxi_median,citi_median,end_taxi_zone_id
Alphabet City,Garment District,4:00 PM–7:00 PM,0.5285,1547,1599,100
Alphabet City,Garment District,7:00 PM–10:00 PM,0.7033,1283,1465,100
Alphabet City,Garment District,11:00 AM–4:00 PM,0.3477,1667,1464,100
Alphabet City,Garment District,8:00 AM–11:00 AM,0.3388,1538.5,1358.5,100
Alphabet City,Garment District,10:00 PM–8:00 AM,0.6585,933,1016,100
Alphabet City,Gowanus,8:00 AM–11:00 AM,0.8725,1283,1947,106
Alphabet City,Gramercy,4:00 PM–7:00 PM,0.7526,457,618,107
Alphabet City,Gramercy,7:00 PM–10:00 PM,0.7406,476,630.5,107
Alphabet City,Gramercy,11:00 AM–4:00 PM,0.7478,468,612,107
Alphabet City,Gramercy,8:00 AM–11:00 AM,0.6838,498,612,107
Alphabet City,Gramercy,10:00 PM–8:00 AM,0.8501,365,612,107
Alphabet City,Greenpoint,4:00 PM–7:00 PM,0.5906,1306,1350,112
Alphabet City,Greenpoint,7:00 PM–10:00 PM,0.8246,1179,1583,112
Alphabet City,Greenpoint,11:00 AM–4:00 PM,0.8989,1249,1742,112
Alphabet City,Greenpoint,8:00 AM–11:00 AM,0.8672,1183,1833,112
Alphabet City,Greenpoint,10:00 PM–8:00 AM,0.9079,914.5,1532,112
Alphabet City,Greenwich Village North,4:00 PM–7:00 PM,0.7138,555,683,113
Alphabet City,Greenwich Village North,7:00 PM–10:00 PM,0.6361,592,677,113
Alphabet City,Greenwich Village North,11:00 AM–4:00 PM,0.6267,564,638,113
Alphabet City,Greenwich Village North,8:00 AM–11:00 AM,0.6017,564.5,624,113
Alphabet City,Greenwich Village North,10:00 PM–8:00 AM,0.7084,476,580,113
Alphabet City,Greenwich Village South,4:00 PM–7:00 PM,0.4804,547,519,114
Alphabet City,Greenwich Village South,7:00 PM–10:00 PM,0.4411,584,536,114
Alphabet City,Greenwich Village South,11:00 AM–4:00 PM,0.5741,512,550,114
Alphabet City,Greenwich Village South,8:00 AM–11:00 AM,0.5472,520,534.5,114
Alphabet City,Greenwich Village South,10:00 PM–8:00 AM,0.5928,426.5,470,114
Alphabet City,Hudson Sq,4:00 PM–7:00 PM,0.5598,847,906.5,125
Alphabet City,Hudson Sq,7:00 PM–10:00 PM,0.5012,842,844,125
Alphabet City,Hudson Sq,11:00 AM–4:00 PM,0.575,860,911,125
Alphabet City,Hudson Sq,8:00 AM–11:00 AM,0.3961,827,747,125
Alphabet City,Hudson Sq,10:00 PM–8:00 AM,0.7985,576,773,125
Alphabet City,Kips Bay,4:00 PM–7:00 PM,0.6283,575.5,659,137
Alphabet City,Kips Bay,7:00 PM–10:00 PM,0.7117,578,703,137
Alphabet City,Kips Bay,11:00 AM–4:00 PM,0.6212,613,698,137
Alphabet City,Kips Bay,8:00 AM–11:00 AM,0.6452,596,679,137
Alphabet City,Kips Bay,10:00 PM–8:00 AM,0.7602,454,600,137
Alphabet City,Lenox Hill East,4:00 PM–7:00 PM,0.5153,1234,1118.5,140
Alphabet City,Lenox Hill East,11:00 AM–4:00 PM,0.8105,1096,1535,140
Alphabet City,Lenox Hill West,4:00 PM–7:00 PM,0.5243,1323,1341,141
Alphabet City,Lenox Hill West,7:00 PM–10:00 PM,0.8648,943,1296,141
Alphabet City,Lenox Hill West,11:00 AM–4:00 PM,0.5441,1300,1266,141
Alphabet City,Lenox Hill West,8:00 AM–11:00 AM,0.7472,1073.5,1426,141
Alphabet City,Lenox Hill West,10:00 PM–8:00 AM,0.9131,823,1392,141
Alphabet City,Lincoln Square East,4:00 PM–7:00 PM,0.3065,2069,1746,142
Alphabet City,Lincoln Square East,11:00 AM–4:00 PM,0.4437,2010,1940,142
Alphabet City,Lincoln Square East,8:00 AM–11:00 AM,0.5298,1914,1920,142
Alphabet City,Lincoln Square West,4:00 PM–7:00 PM,0.4461,2060,1894,143
Alphabet City,Lincoln Square West,7:00 PM–10:00 PM,0.8302,1628.5,2109,143
Alphabet City,Lincoln Square West,11:00 AM–4:00 PM,0.4414,2189,2034,143
Alphabet City,Lincoln Square West,8:00 AM–11:00 AM,0.6362,1933,2137,143
Alphabet City,Little Italy/NoLiTa,4:00 PM–7:00 PM,0.5822,632.5,685,144
Alphabet City,Little Italy/NoLiTa,7:00 PM–10:00 PM,0.5204,626,632,144
Alphabet City,Little Italy/NoLiTa,11:00 AM–4:00 PM,0.5331,678,713.5,144
Alphabet City,Little Italy/NoLiTa,8:00 AM–11:00 AM,0.5305,658,692,144
Alphabet City,Little Italy/NoLiTa,10:00 PM–8:00 AM,0.6469,500,594,144
Alphabet City,Long Island City/Hunters Point,11:00 AM–4:00 PM,0.9308,1296,2092,145
Alphabet City,Long Island City/Hunters Point,8:00 AM–11:00 AM,0.8675,1448,1957.5,145
Alphabet City,Long Island City/Queens Plaza,8:00 AM–11:00 AM,0.6788,1649,2014,146
Alphabet City,Lower East Side,4:00 PM–7:00 PM,0.6476,359,446.5,148
Alphabet City,Lower East Side,7:00 PM–10:00 PM,0.6387,397,494,148
Alphabet City,Lower East Side,11:00 AM–4:00 PM,0.6911,373,533.5,148
Alphabet City,Lower East Side,8:00 AM–11:00 AM,0.6969,327,455,148
Alphabet City,Lower East Side,10:00 PM–8:00 AM,0.6803,327,485,148
Alphabet City,Manhattan Valley,7:00 PM–10:00 PM,0.9464,1623.5,2454,151
Alphabet City,Manhattan Valley,8:00 AM–11:00 AM,0.7316,1866,2246,151
Alphabet City,Meatpacking/West Village West,4:00 PM–7:00 PM,0.5059,983,1029,158
Alphabet City,Meatpacking/West Village West,7:00 PM–10:00 PM,0.5996,971.5,1012.5,158
Alphabet City,Meatpacking/West Village West,11:00 AM–4:00 PM,0.5324,969,991,158
Alphabet City,Meatpacking/West Village West,8:00 AM–11:00 AM,0.4674,980,936,158
Alphabet City,Meatpacking/West Village West,10:00 PM–8:00 AM,0.6537,802,921,158
Alphabet City,Midtown Center,4:00 PM–7:00 PM,0.5173,1431,1500,161
Alphabet City,Midtown Center,7:00 PM–10:00 PM,0.7372,1091.5,1358,161
Alphabet City,Midtown Center,11:00 AM–4:00 PM,0.5224,1440.5,1496,161
Alphabet City,Midtown Center,8:00 AM–11:00 AM,0.4943,1348,1317,161
Alphabet City,Midtown Center,10:00 PM–8:00 AM,0.8878,827,1258,161
Alphabet City,Midtown East,4:00 PM–7:00 PM,0.7867,1078,1477,162
Alphabet City,Midtown East,7:00 PM–10:00 PM,0.8893,812,1309.5,162
Alphabet City,Midtown East,11:00 AM–4:00 PM,0.7695,1068,1438,162
Alphabet City,Midtown East,8:00 AM–11:00 AM,0.6101,1058,1177,162
Alphabet City,Midtown East,10:00 PM–8:00 AM,0.9361,694,1320.5,162
Alphabet City,Midtown North,4:00 PM–7:00 PM,0.6225,1878,1932,163
Alphabet City,Midtown North,7:00 PM–10:00 PM,0.7524,1413,1723.5,163
Alphabet City,Midtown North,11:00 AM–4:00 PM,0.4798,1854,1731,163
Alphabet City,Midtown North,8:00 AM–11:00 AM,0.6906,1573.5,1877,163
Alphabet City,Midtown North,10:00 PM–8:00 AM,0.7695,1089,1408,163
Alphabet City,Midtown South,4:00 PM–7:00 PM,0.4633,1093,1084,164
Alphabet City,Midtown South,7:00 PM–10:00 PM,0.6449,999,1108.5,164
Alphabet City,Midtown South,11:00 AM–4:00 PM,0.4241,1191.5,1125,164
Alphabet City,Midtown South,8:00 AM–11:00 AM,0.4564,1165,1139,164
Alphabet City,Midtown South,10:00 PM–8:00 AM,0.8396,740,1010,164
Alphabet City,Murray Hill,4:00 PM–7:00 PM,0.5168,936.5,961,170
Alphabet City,Murray Hill,7:00 PM–10:00 PM,0.7128,775,945.5,170
Alphabet City,Murray Hill,11:00 AM–4:00 PM,0.4916,1027,988,170
Alphabet City,Murray Hill,8:00 AM–11:00 AM,0.5275,961,976,170
Alphabet City,Murray Hill,10:00 PM–8:00 AM,0.8989,622.5,986.5,170
Alphabet City,Park Slope,4:00 PM–7:00 PM,0.6573,1950,2178.5,181
Alphabet City,Park Slope,7:00 PM–10:00 PM,0.8722,1639,2174,181
Alphabet City,Park Slope,11:00 AM–4:00 PM,0.8915,1596.5,2190.5,181
Alphabet City,Park Slope,10:00 PM–8:00 AM,0.8978,1403.5,2097,181
Alphabet City,Penn Station/Madison Sq West,4:00 PM–7:00 PM,0.3634,1283,1161,186
Alphabet City,Penn Station/Madison Sq West,7:00 PM–10:00 PM,0.4505,1153,1120,186
Alphabet City,Penn Station/Madison Sq West,11:00 AM–4:00 PM,0.2324,1508,1186,186
Alphabet City,Penn Station/Madison Sq West,8:00 AM–11:00 AM,0.3495,1329,1203,186
Alphabet City,Penn Station/Madison Sq West,10:00 PM–8:00 AM,0.8234,790,1053,186
Alphabet City,Seaport,4:00 PM–7:00 PM,0.8459,757,1058,209
Alphabet City,Seaport,7:00 PM–10:00 PM,0.912,638,1161.5,209
Alphabet City,Seaport,11:00 AM–4:00 PM,0.9446,641,1215,209
Alphabet City,Seaport,8:00 AM–11:00 AM,0.8229,683,914,209
Alphabet City,Seaport,10:00 PM–8:00 AM,0.9065,592,928,209
Alphabet City,SoHo,4:00 PM–7:00 PM,0.615,699,809,211
Alphabet City,SoHo,7:00 PM–10:00 PM,0.6138,746,809,211
Alphabet City,SoHo,11:00 AM–4:00 PM,0.6813,709.5,821.5,211
Alphabet City,SoHo,8:00 AM–11:00 AM,0.6848,680,796,211
Alphabet City,SoHo,10:00 PM–8:00 AM,0.7593,589,752,211
Alphabet City,Stuy Town/Peter Cooper Village,4:00 PM–7:00 PM,0.7265,297,396,224
Alphabet City,Stuy Town/Peter Cooper Village,7:00 PM–10:00 PM,0.6891,292,381,224
Alphabet City,Stuy Town/Peter Cooper Village,11:00 AM–4:00 PM,0.7359,286.5,419,224
Alphabet City,Stuy Town/Peter Cooper Village,8:00 AM–11:00 AM,0.6872,321,437,224
Alphabet City,Stuy Town/Peter Cooper Village,10:00 PM–8:00 AM,0.7767,244,376,224
Alphabet City,Stuyvesant Heights,4:00 PM–7:00 PM,0.5943,2054,2270,225
Alphabet City,Stuyvesant Heights,7:00 PM–10:00 PM,0.9563,1472.5,2319.5,225
Alphabet City,Sutton Place/Turtle Bay North,4:00 PM–7:00 PM,0.636,1086,1269,229
Alphabet City,Sutton Place/Turtle Bay North,7:00 PM–10:00 PM,0.8421,822,1219,229
Alphabet City,Sutton Place/Turtle Bay North,11:00 AM–4:00 PM,0.6835,1031,1336.5,229
Alphabet City,Sutton Place/Turtle Bay North,8:00 AM–11:00 AM,0.5178,1e3,967,229
Alphabet City,Sutton Place/Turtle Bay North,10:00 PM–8:00 AM,0.8113,696,928,229
Alphabet City,Times Sq/Theatre District,4:00 PM–7:00 PM,0.3362,1645,1463.5,230
Alphabet City,Times Sq/Theatre District,7:00 PM–10:00 PM,0.5824,1324,1477,230
Alphabet City,Times Sq/Theatre District,11:00 AM–4:00 PM,0.3172,1802.5,1589,230
Alphabet City,Times Sq/Theatre District,8:00 AM–11:00 AM,0.3155,1667,1523,230
Alphabet City,Times Sq/Theatre District,10:00 PM–8:00 AM,0.8628,912.5,1319,230
Alphabet City,TriBeCa/Civic Center,4:00 PM–7:00 PM,0.5106,1058,1063,231
Alphabet City,TriBeCa/Civic Center,7:00 PM–10:00 PM,0.585,915,967.5,231
Alphabet City,TriBeCa/Civic Center,11:00 AM–4:00 PM,0.5855,998,1067,231
Alphabet City,TriBeCa/Civic Center,8:00 AM–11:00 AM,0.5753,954.5,1039.5,231
Alphabet City,TriBeCa/Civic Center,10:00 PM–8:00 AM,0.854,711,1078,231
Alphabet City,Two Bridges/Seward Park,4:00 PM–7:00 PM,0.5711,371,426,232
Alphabet City,Two Bridges/Seward Park,7:00 PM–10:00 PM,0.5974,368,414,232
Alphabet City,Two Bridges/Seward Park,11:00 AM–4:00 PM,0.6082,374,459,232
Alphabet City,Two Bridges/Seward Park,8:00 AM–11:00 AM,0.7165,322,504,232
Alphabet City,Two Bridges/Seward Park,10:00 PM–8:00 AM,0.6879,328,477.5,232
Alphabet City,UN/Turtle Bay South,4:00 PM–7:00 PM,0.6422,806,1026,233
Alphabet City,UN/Turtle Bay South,7:00 PM–10:00 PM,0.7383,690.5,915.5,233
Alphabet City,UN/Turtle Bay South,11:00 AM–4:00 PM,0.6272,726,880,233
Alphabet City,UN/Turtle Bay South,8:00 AM–11:00 AM,0.7122,705,937,233
Alphabet City,UN/Turtle Bay South,10:00 PM–8:00 AM,0.8536,559,1026,233
Alphabet City,Union Sq,4:00 PM–7:00 PM,0.6088,745,820.5,234
Alphabet City,Union Sq,7:00 PM–10:00 PM,0.6119,766,841.5,234
Alphabet City,Union Sq,11:00 AM–4:00 PM,0.5864,791,858,234
Alphabet City,Union Sq,8:00 AM–11:00 AM,0.5268,818,816.5,234
Alphabet City,Union Sq,10:00 PM–8:00 AM,0.8515,540.5,835.5,234
Alphabet City,Upper East Side North,11:00 AM–4:00 PM,0.7152,1584.5,1836,236
Alphabet City,Upper East Side South,4:00 PM–7:00 PM,0.5906,1505.5,1540,237
Alphabet City,Upper East Side South,11:00 AM–4:00 PM,0.6204,1355.5,1514.5,237
Alphabet City,Upper East Side South,8:00 AM–11:00 AM,0.8308,1313,1901,237
Alphabet City,Upper East Side South,10:00 PM–8:00 AM,0.9145,976.5,1511,237
Alphabet City,Upper West Side North,7:00 PM–10:00 PM,0.9304,1605,2468,238
